"","rules","support","confidence","coverage","lift","count"
"454","{만족감=만족,기억.집중.가능.여부=가능,생활수준.변화=좋아짐} => {자기개발.가능여부=가능}",0.122944293440958,0.993786063027075,0.123713038464706,1.04334216624781,4478
"455","{만족감=만족,자기개발.가능여부=가능,생활수준.변화=좋아짐} => {기억.집중.가능.여부=가능}",0.122944293440958,0.902276848680234,0.136260055459462,1.07222282738924,4478
"456","{만족감=보통,기억.집중.가능.여부=가능,생활수준.변화=좋아짐} => {자기개발.가능여부=가능}",0.102380364055679,0.990175252257037,0.103396205694204,1.03955129890635,3729
"457","{만족감=보통,자기개발.가능여부=가능,생활수준.변화=좋아짐} => {기억.집중.가능.여부=가능}",0.102380364055679,0.863194444444444,0.118606375092661,1.02577915986949,3729
"458","{생활수준.변화=좋아짐,기부경험=없음,소득.만족도=보통} => {자기개발.가능여부=가능}",0.10232545369684,0.941637190500253,0.108667600142767,0.988592839754149,3727
"459","{기억.집중.가능.여부=가능,생활수준.변화=좋아짐,소득.만족도=보통} => {자기개발.가능여부=가능}",0.113554622079455,0.991133477114785,0.11457046371798,1.04055730657343,4136
"460","{자기개발.가능여부=가능,생활수준.변화=좋아짐,소득.만족도=보통} => {기억.집중.가능.여부=가능}",0.113554622079455,0.876642645188639,0.129533536501661,1.04176036103445,4136
"491","{만족감=보통,기부경험=없음,소득.만족도=불만족} => {기억.집중.가능.여부=가능}",0.10026631524037,0.817185052584471,0.122697196826181,0.971103790221344,3652
"492","{만족감=보통,기억.집중.가능.여부=가능,소득.만족도=불만족} => {기부경험=없음}",0.10026631524037,0.833219256217203,0.120336051396096,1.05680763900126,3652
"493","{만족감=보통,기부경험=없음,소득.만족도=불만족} => {자기개발.가능여부=가능}",0.11528429838289,0.93958379950772,0.122697196826181,0.986437054433738,4199
"494","{만족감=보통,자기개발.가능여부=가능,소득.만족도=불만족} => {기부경험=없음}",0.11528429838289,0.825437389424022,0.139664497707493,1.04693756433441,4199
"495","{만족감=보통,기억.집중.가능.여부=가능,소득.만족도=불만족} => {자기개발.가능여부=가능}",0.118935837245696,0.988364134154689,0.120336051396096,1.03764986764812,4332
"496","{만족감=보통,자기개발.가능여부=가능,소득.만족도=불만족} => {기억.집중.가능.여부=가능}",0.118935837245696,0.851582465107136,0.139664497707493,1.01198003675684,4332
"497","{생활수준.변화=그대로,기부경험=없음,소득.만족도=불만족} => {기억.집중.가능.여부=가능}",0.100458501496307,0.805060506050605,0.124783790462071,0.956695556668228,3659
"498","{기억.집중.가능.여부=가능,생활수준.변화=그대로,소득.만족도=불만족} => {기부경험=없음}",0.100458501496307,0.857913247362251,0.117096340224583,1.08812808471203,3659
"499","{생활수준.변화=그대로,기부경험=없음,소득.만족도=불만족} => {자기개발.가능여부=가능}",0.115641215715345,0.926732673267327,0.124783790462071,0.972945094353784,4212
"500","{자기개발.가능여부=가능,생활수준.변화=그대로,소득.만족도=불만족} => {기부경험=없음}",0.115641215715345,0.852286523674626,0.135683496691651,1.080991470272,4212
"501","{기억.집중.가능.여부=가능,생활수준.변화=그대로,소득.만족도=불만족} => {자기개발.가능여부=가능}",0.115147022485792,0.983352872215709,0.117096340224583,1.03238871428567,4194
"502","{자기개발.가능여부=가능,생활수준.변화=그대로,소득.만족도=불만족} => {기억.집중.가능.여부=가능}",0.115147022485792,0.848644273573452,0.135683496691651,1.00848842989774,4194
"503","{기억.집중.가능.여부=가능,인간관계=만족,소득.만족도=불만족} => {자기개발.가능여부=가능}",0.112895697773385,0.988936988936989,0.114158636026686,1.0382512883882,4112
"504","{자기개발.가능여부=가능,인간관계=만족,소득.만족도=불만족} => {기억.집중.가능.여부=가능}",0.112895697773385,0.870080406263225,0.129753177937018,1.03396210888501,4112
"505","{기부경험=없음,계층의식=중산층,소득.만족도=불만족} => {자기개발.가능여부=가능}",0.102545095132197,0.961885140355395,0.106608461686297,1.0098504732126,3735
"506","{기억.집중.가능.여부=가능,계층의식=중산층,소득.만족도=불만족} => {자기개발.가능여부=가능}",0.120390961754935,0.995007941910597,0.120994975702166,1.04462497530365,4385
"507","{자기개발.가능여부=가능,계층의식=중산층,소득.만족도=불만족} => {기억.집중.가능.여부=가능}",0.120390961754935,0.878229521329862,0.13708371084205,1.04364612905049,4385
"517","{만족감=만족,생활수준.변화=그대로,계층의식=중산층} => {자기개발.가능여부=가능}",0.107212475633528,0.988857938718663,0.108420503527991,1.03816829625428,3905
"518","{만족감=만족,생활수준.변화=그대로,기부경험=없음} => {기억.집중.가능.여부=가능}",0.100403591137468,0.909927842746952,0.110342366087362,1.08131490428621,3657
"519","{만족감=만족,생활수준.변화=그대로,기부경험=없음} => {자기개발.가능여부=가능}",0.107981220657277,0.978601642199552,0.110342366087362,1.02740055958938,3933
"591","{만족감=보통,인간관계=보통,계층의식=중산층} => {기부경험=없음}",0.102874557285232,0.819016393442623,0.125607445844659,1.03879354035452,3747
"603","{생활수준.변화=그대로,인간관계=보통,소득.만족도=보통} => {자기개발.가능여부=가능}",0.105427888971254,0.940024479804162,0.112154407929056,0.986899709679387,3840
"604","{생활수준.변화=그대로,인간관계=보통,계층의식=중산층} => {자기개발.가능여부=가능}",0.104055130000275,0.965359144167091,0.10778903440134,1.01349771158441,3790
"605","{생활수준.변화=그대로,인간관계=보통,혼인상태=기혼} => {기부경험=없음}",0.102023446723224,0.835431654676259,0.12212063805837,1.05961371864308,3716
"606","{생활수준.변화=그대로,인간관계=보통,혼인상태=기혼} => {자기개발.가능여부=가능}",0.115888312330121,0.94896582733813,0.12212063805837,0.99628692615619,4221
"615","{인간관계=보통,소득.만족도=보통,혼인상태=기혼} => {기부경험=없음}",0.100458501496307,0.815466904390461,0.123191390055734,1.03429157149472,3659
"616","{인간관계=보통,소득.만족도=보통,혼인상태=기혼} => {기억.집중.가능.여부=가능}",0.100540867034566,0.81613550256296,0.123191390055734,0.969856554970658,3662
"617","{인간관계=보통,소득.만족도=보통,혼인상태=기혼} => {자기개발.가능여부=가능}",0.116766878071548,0.94784934254513,0.123191390055734,0.995114766769126,4253
"667","{만족감=보통,인간관계=만족,혼인상태=기혼} => {자기개발.가능여부=가능}",0.110260000549104,0.967244701348748,0.113993904950169,1.01547729389864,4016
"691","{생활수준.변화=그대로,소득.만족도=보통,혼인상태=기혼} => {기억.집중.가능.여부=가능}",0.100760508469923,0.853091585309159,0.118112181863108,1.01377340331861,3670
"692","{생활수준.변화=그대로,소득.만족도=보통,혼인상태=기혼} => {자기개발.가능여부=가능}",0.112923152952805,0.956066945606695,0.118112181863108,1.0037421485554,4113
"761","{기억.집중.가능.여부=가능,기부경험=있음,계층의식=중산층,혼인상태=기혼} => {자기개발.가능여부=가능}",0.100678142931664,0.996467391304348,0.101035060264119,1.046157201553,3667
"762","{자기개발.가능여부=가능,기부경험=있음,계층의식=중산층,혼인상태=기혼} => {기억.집중.가능.여부=가능}",0.100678142931664,0.86241768579492,0.116739422892129,1.02485609689097,3667
"763","{기억.집중.가능.여부=가능,생활수준.변화=그대로,소득.만족도=보통,혼인상태=미혼} => {자기개발.가능여부=가능}",0.104521868050408,0.998688352570829,0.104659143947506,1.04848891320114,3807
"764","{자기개발.가능여부=가능,생활수준.변화=그대로,소득.만족도=보통,혼인상태=미혼} => {기억.집중.가능.여부=가능}",0.104521868050408,0.96087834427057,0.108777420860445,1.14186205329093,3807
"765","{기억.집중.가능.여부=가능,생활수준.변화=그대로,기부경험=없음,혼인상태=미혼} => {자기개발.가능여부=가능}",0.12758421876287,0.996782496782497,0.127996046454164,1.04648802007059,4647
"766","{자기개발.가능여부=가능,생활수준.변화=그대로,기부경험=없음,혼인상태=미혼} => {기억.집중.가능.여부=가능}",0.12758421876287,0.959133126934985,0.13302034428795,1.13978812014202,4647
"767","{기억.집중.가능.여부=가능,자기개발.가능여부=가능,생활수준.변화=그대로,혼인상태=미혼} => {기부경험=없음}",0.12758421876287,0.888697647733792,0.143563133185075,1.12717325707448,4647
"768","{기억.집중.가능.여부=가능,기부경험=없음,소득.만족도=보통,혼인상태=미혼} => {자기개발.가능여부=가능}",0.132965433929111,0.997939418916134,0.133239985723307,1.04770263324539,4843
"769","{자기개발.가능여부=가능,기부경험=없음,소득.만족도=보통,혼인상태=미혼} => {기억.집중.가능.여부=가능}",0.132965433929111,0.956169792694965,0.139060483760261,1.13626663488838,4843
"770","{기억.집중.가능.여부=가능,자기개발.가능여부=가능,소득.만족도=보통,혼인상태=미혼} => {기부경험=없음}",0.132965433929111,0.887483965548836,0.149822914092744,1.12563389202163,4843
"771","{기억.집중.가능.여부=가능,인간관계=만족,기부경험=없음,혼인상태=미혼} => {자기개발.가능여부=가능}",0.118112181863108,0.998143851508121,0.118331823298465,1.0479172600663,4302
"772","{자기개발.가능여부=가능,인간관계=만족,기부경험=없음,혼인상태=미혼} => {기억.집중.가능.여부=가능}",0.118112181863108,0.959625250948026,0.123081569338056,1.140372936877,4302
"773","{기억.집중.가능.여부=가능,자기개발.가능여부=가능,인간관계=만족,혼인상태=미혼} => {기부경험=없음}",0.118112181863108,0.844025897586816,0.139939049501688,1.07051416470399,4302
"774","{기억.집중.가능.여부=가능,기부경험=없음,계층의식=중산층,혼인상태=미혼} => {자기개발.가능여부=가능}",0.120885154984488,0.998865698729583,0.121022430881586,1.04867510289763,4403
"775","{자기개발.가능여부=가능,기부경험=없음,계층의식=중산층,혼인상태=미혼} => {기억.집중.가능.여부=가능}",0.120885154984488,0.963668198730576,0.125442714768141,1.14517738343764,4403
"776","{기억.집중.가능.여부=가능,자기개발.가능여부=가능,계층의식=중산층,혼인상태=미혼} => {기부경험=없음}",0.120885154984488,0.836595097852936,0.144496609285342,1.06108936341183,4403
"777","{기억.집중.가능.여부=가능,인간관계=만족,계층의식=중산층,교육정도=4년제} => {자기개발.가능여부=가능}",0.119237844219312,0.997931985294118,0.119484940834088,1.04769482893862,4343
"778","{자기개발.가능여부=가능,인간관계=만족,계층의식=중산층,교육정도=4년제} => {기억.집중.가능.여부=가능}",0.119237844219312,0.940857885615251,0.126733108200862,1.11807069389117,4343
"779","{기억.집중.가능.여부=가능,계층의식=중산층,교육정도=4년제,혼인상태=기혼} => {자기개발.가능여부=가능}",0.116959064327485,0.997191011235955,0.117288526480521,1.04691690549238,4260
"780","{자기개발.가능여부=가능,계층의식=중산층,교육정도=4년제,혼인상태=기혼} => {기억.집중.가능.여부=가능}",0.116959064327485,0.916129032258065,0.127666584301128,1.08868410251013,4260
"781","{기억.집중.가능.여부=가능,자기개발.가능여부=가능,교육정도=4년제,혼인상태=기혼} => {계층의식=중산층}",0.116959064327485,0.803621958121109,0.145539906103286,1.36796385384143,4260
"782","{기억.집중.가능.여부=가능,기부경험=없음,계층의식=중산층,교육정도=4년제} => {자기개발.가능여부=가능}",0.120692968728551,0.997277676950998,0.121022430881586,1.04700789287713,4396
"783","{자기개발.가능여부=가능,기부경험=없음,계층의식=중산층,교육정도=4년제} => {기억.집중.가능.여부=가능}",0.120692968728551,0.941932719091493,0.128133322351262,1.11934797479509,4396
"784","{기억.집중.가능.여부=가능,인간관계=보통,기부경험=없음,교육정도=고등학교} => {자기개발.가능여부=가능}",0.104082585179694,0.990334378265413,0.105098426818219,1.03971835988704,3791
"785","{자기개발.가능여부=가능,인간관계=보통,기부경험=없음,교육정도=고등학교} => {기억.집중.가능.여부=가능}",0.104082585179694,0.867307252345001,0.120006589243061,1.03066662486662,3791
"786","{기억.집중.가능.여부=가능,자기개발.가능여부=가능,인간관계=보통,교육정도=고등학교} => {기부경험=없음}",0.104082585179694,0.865327550787491,0.120281141037257,1.09753196303001,3791
"787","{만족감=보통,기억.집중.가능.여부=가능,기부경험=없음,교육정도=고등학교} => {자기개발.가능여부=가능}",0.107926310298438,0.991174987392839,0.108887241578124,1.04060088680164,3931
"788","{만족감=보통,자기개발.가능여부=가능,기부경험=없음,교육정도=고등학교} => {기억.집중.가능.여부=가능}",0.107926310298438,0.894222020018198,0.120692968728551,1.06265085269569,3931
"789","{만족감=보통,기억.집중.가능.여부=가능,자기개발.가능여부=가능,교육정도=고등학교} => {기부경험=없음}",0.107926310298438,0.8482952093224,0.127227301430415,1.07592911547689,3931
"790","{기억.집중.가능.여부=가능,생활수준.변화=그대로,기부경험=없음,교육정도=고등학교} => {자기개발.가능여부=가능}",0.118469099195563,0.991954022988506,0.119430030475249,1.04141876976077,4315
"791","{자기개발.가능여부=가능,생활수준.변화=그대로,기부경험=없음,교육정도=고등학교} => {기억.집중.가능.여부=가능}",0.118469099195563,0.90290855827579,0.131208302446257,1.07297352098137,4315
"792","{기억.집중.가능.여부=가능,자기개발.가능여부=가능,생활수준.변화=그대로,교육정도=고등학교} => {기부경험=없음}",0.118469099195563,0.862137862137862,0.137413172995086,1.09348634441785,4315
"793","{기억.집중.가능.여부=가능,기부경험=없음,소득.만족도=보통,교육정도=고등학교} => {자기개발.가능여부=가능}",0.116300140021415,0.994833255049319,0.116904153968646,1.04444157751308,4236
"794","{자기개발.가능여부=가능,기부경험=없음,소득.만족도=보통,교육정도=고등학교} => {기억.집중.가능.여부=가능}",0.116300140021415,0.897838066977533,0.129533536501661,1.06694799065327,4236
"795","{기억.집중.가능.여부=가능,자기개발.가능여부=가능,소득.만족도=보통,교육정도=고등학교} => {기부경험=없음}",0.116300140021415,0.851799718479791,0.136534607253658,1.0803740344113,4236
"796","{기억.집중.가능.여부=가능,인간관계=만족,기부경험=없음,교육정도=고등학교} => {자기개발.가능여부=가능}",0.106169178815584,0.994343018770892,0.106773192762815,1.04392689512848,3867
"797","{자기개발.가능여부=가능,인간관계=만족,기부경험=없음,교육정도=고등학교} => {기억.집중.가능.여부=가능}",0.106169178815584,0.90924053609217,0.116766878071548,1.08049814179723,3867
"798","{기억.집중.가능.여부=가능,계층의식=중산층,교육정도=고등학교,혼인상태=기혼} => {자기개발.가능여부=가능}",0.104412047332729,0.995549738219895,0.104878785382862,1.04519378880994,3803
"799","{자기개발.가능여부=가능,계층의식=중산층,교육정도=고등학교,혼인상태=기혼} => {기억.집중.가능.여부=가능}",0.104412047332729,0.877885503231764,0.118935837245696,1.04323731432987,3803
"800","{기억.집중.가능.여부=가능,기부경험=없음,계층의식=중산층,교육정도=고등학교} => {자기개발.가능여부=가능}",0.122505010570244,0.995093666369313,0.123109024517475,1.04471497449542,4462
"801","{자기개발.가능여부=가능,기부경험=없음,계층의식=중산층,교육정도=고등학교} => {기억.집중.가능.여부=가능}",0.122505010570244,0.908017908017908,0.134914751667902,1.07904522883316,4462
"802","{기억.집중.가능.여부=가능,자기개발.가능여부=가능,계층의식=중산층,교육정도=고등학교} => {기부경험=없음}",0.122505010570244,0.804108848441161,0.152348790599347,1.01988566308362,4462
"803","{기억.집중.가능.여부=가능,기부경험=없음,교육정도=고등학교,혼인상태=기혼} => {자기개발.가능여부=가능}",0.134557834335447,0.99190447277879,0.135656041512231,1.04136674868192,4901
"804","{자기개발.가능여부=가능,기부경험=없음,교육정도=고등학교,혼인상태=기혼} => {기억.집중.가능.여부=가능}",0.134557834335447,0.864526371494091,0.155643412129698,1.0273619585295,4901
"805","{기억.집중.가능.여부=가능,자기개발.가능여부=가능,교육정도=고등학교,혼인상태=기혼} => {기부경험=없음}",0.134557834335447,0.800032647730983,0.168190429124454,1.01471564328814,4901
"806","{기억.집중.가능.여부=가능,생활수준.변화=좋아짐,인간관계=만족,계층의식=중산층} => {자기개발.가능여부=가능}",0.115558850177086,0.995506149479659,0.116080498586058,1.04514802647501,4209
