측정소명,오존농도(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
강북구,0.071,50,24
강서구,0.071,45,19
공항대로,0.068,47,22
관악구,0.068,41,19
관악산,0.081,45,22
광진구,0.063,42,21
구로구,0.068,48,20
금천구,0.078,36,17
남산,0.082,40,18
노원구,0.071,46,26
도봉구,0.073,45,21
도산대로,0.056,53,22
동대문구,0.077,45,19
동작구,0.072,39,20
동작대로,0.063,47,22
마포구,0.072,41,18
마포아트센터,0.084,44,18
북한산,0.068,43,23
서대문구,0.075,44,18
서울숲,0.068,47,18
서초구,0.066,48,19
성동구,0.068,46,19
성북구,0.059,51,23
세곡,0.067,44,18
송파구,0.061,45,21
시흥대로,0.057,45,21
신촌로,0.056,48,21
양천구,0.065,39,19
영등포구,0.066,40,21
영등포로,0.053,44,21
올림픽공원,0.068,42,21
용산구,0.07,44,22
은평구,0.068,47,26
자연사박물관,0.077,45,19
정릉로,0.051,48,24
종로,0.054,46,20
종로구,0.072,45,23
중구,0.068,38,24
중랑구,0.07,48,20
천호대로,0.061,47,19
청계천로,0.056,48,23
한강대로,0.043,66,27
항동,0.07,38,14
행주,0.059,41,17
홍릉로,0.059,52,24
화랑로,0.058,45,23
강남구,0.086,53,32
강남대로,0.052,71,40
강동구,0.068,56,33
강변북로,0.053,71,38
강북구,0.079,64,36
강서구,0.084,62,34
공항대로,0.079,66,36
관악구,0.083,57,31
관악산,0.096,65,35
광진구,0.069,57,33
구로구,0.08,70,38
금천구,0.09,53,31
남산,0.096,60,34
노원구,0.08,59,37
도봉구,0.077,60,36
도산대로,0.066,73,40
동대문구,0.085,62,32
동작구,0.081,57,35
동작대로,0.071,66,33
마포구,0.085,55,29
마포아트센터,0.098,65,32
북한산,0.071,53,36
서대문구,0.09,60,34
서울숲,0.073,66,37
서초구,0.076,66,39
성동구,0.076,61,31
성북구,0.064,72,36
세곡,0.06,68,39
송파구,0.065,61,34
시흥대로,0.067,64,35
신촌로,0.067,67,36
양천구,0.078,54,33
영등포구,0.077,53,34
영등포로,0.062,70,33
올림픽공원,0.072,61,38
용산구,0.079,59,34
은평구,0.082,66,43
자연사박물관,0.091,61,36
정릉로,0.057,67,39
종로,0.059,62,32
종로구,0.079,57,33
중구,0.075,50,35
중랑구,0.077,60,32
천호대로,0.065,67,32
청계천로,0.062,66,37
한강대로,0.049,89,37
항동,0.067,59,34
행주,0.069,59,31
홍릉로,0.058,69,40
화랑로,0.062,59,34
강남구,0.081,45,26
강남대로,0.05,58,30
강동구,0.062,45,25
강변북로,0.043,62,30
강북구,0.067,52,28
강서구,0.073,54,27
공항대로,0.062,54,28
관악구,0.073,49,26
관악산,0.088,59,34
광진구,0.062,47,25
구로구,0.071,62,32
금천구,0.079,49,26
남산,0.082,53,28
노원구,0.071,49,29
도봉구,0.068,53,29
도산대로,0.059,65,34
동대문구,0.079,49,23
동작구,0.072,49,33
동작대로,0.062,54,27
마포구,0.073,48,25
마포아트센터,0.086,57,27
북한산,0.062,50,31
서대문구,0.074,53,28
서울숲,0.068,65,28
서초구,0.068,55,30
성동구,0.067,50,23
성북구,0.058,63,30
세곡,0.065,56,28
송파구,0.061,53,26
시흥대로,0.057,54,30
신촌로,0.059,56,29
양천구,0.069,46,26
영등포구,0.065,44,26
영등포로,0.057,51,26
올림픽공원,0.068,52,29
용산구,0.073,50,28
은평구,0.065,56,35
자연사박물관,0.078,53,30
정릉로,0.05,54,30
종로,0.055,56,26
종로구,0.072,49,25
중구,0.069,42,27
중랑구,0.068,50,26
천호대로,0.06,53,24
청계천로,0.056,54,28
한강대로,0.044,70,30
항동,0.06,56,31
행주,0.062,50,23
홍릉로,0.051,55,28
화랑로,0.058,48,26
강남구,0.064,26,12
강남대로,0.04,39,14
강동구,0.045,28,12
강변북로,0.035,39,14
강북구,0.056,34,14
강서구,0.057,30,11
공항대로,0.051,32,12
관악구,0.055,28,13
관악산,0.065,29,14
광진구,0.05,29,13
구로구,0.052,35,10
금천구,0.056,25,11
남산,0.064,27,10
노원구,0.055,31,16
도봉구,0.056,31,12
도산대로,0.047,39,15
동대문구,0.061,30,12
동작구,0.055,28,13
동작대로,0.049,37,14
마포구,0.057,29,11
마포아트센터,0.066,30,10
북한산,0.054,28,13
서대문구,0.06,29,10
서울숲,0.053,37,9
서초구,0.053,35,11
성동구,0.054,32,13
성북구,0.047,37,13
세곡,0.045,36,11
송파구,0.048,34,13
시흥대로,0.046,30,13
신촌로,0.044,34,13
양천구,0.052,26,11
영등포구,0.053,28,12
영등포로,0.044,32,13
올림픽공원,0.051,30,14
용산구,0.056,32,15
은평구,0.054,30,17
자연사박물관,0.061,28,13
정릉로,0.039,31,13
종로,0.043,34,11
종로구,0.056,31,13
중구,0.055,24,12
중랑구,0.056,30,12
천호대로,0.046,34,14
청계천로,0.045,33,13
한강대로,0.034,43,17
항동,0.041,31,9
행주,0.043,29,10
홍릉로,0.041,34,14
화랑로,0.047,32,14
강남구,0.055,22,9
강남대로,0.036,28,8
강동구,0.04,22,7
강변북로,0.033,26,8
강북구,0.047,24,10
강서구,0.046,26,7
공항대로,0.042,25,9
관악구,0.046,22,10
관악산,0.051,23,8
광진구,0.042,21,9
구로구,0.045,27,7
금천구,0.049,19,7
남산,0.055,19,6
노원구,0.048,23,11
도봉구,0.05,21,6
도산대로,0.042,26,9
동대문구,0.05,23,7
동작구,0.047,22,11
동작대로,0.043,31,11
마포구,0.045,23,8
마포아트센터,0.055,22,6
북한산,0.046,19,6
서대문구,0.051,21,5
서울숲,0.044,26,5
서초구,0.045,21,7
성동구,0.048,26,9
성북구,0.041,25,6
세곡,0.041,24,8
송파구,0.044,26,10
시흥대로,0.044,20,10
신촌로,0.038,28,10
양천구,0.043,20,8
영등포구,0.044,21,9
영등포로,0.038,23,9
올림픽공원,0.04,21,8
용산구,0.05,25,11
은평구,0.045,21,10
자연사박물관,0.051,20,6
