측정소명,미세먼지(㎍/㎥),오존(ppm),일산화탄소농도(ppm),초미세먼지(㎍/㎥)
중랑구,25,0.017,0.5,14
동대문구,22,0.02,0.5,17
성북구,20,0.016,0.5,12
도봉구,21,0.022,0.4,15
강북구,29,0.019,0.5,16
노원구,28,0.021,0.5,20
강서구,25,0.022,0.3,14
구로구,25,0.02,0.4,9
영등포구,22,0.018,0.5,14
동작구,28,0.016,0.5,17
관악구,22,0.015,0.5,13
금천구,29,0.017,0.5,17
양천구,27,0.017,0.5,15
강남구,21,0.019,0.5,16
서초구,22,0.019,0.4,14
송파구,24,0.019,0.5,15
강동구,29,0.018,0.5,20
중구,29,0.021,0.4,14
종로구,27,0.024,0.4,14
용산구,35,0.016,0.4,11
은평구,24,0.024,0.6,11
서대문구,19,0.021,0.4,13
마포구,24,0.014,0.5,13
광진구,22,0.016,0.5,12
성동구,22,0.021,0.4,12
중랑구,22,0.018,0.4,10
동대문구,22,0.021,0.4,13
성북구,21,0.018,0.4,8
도봉구,17,0.025,0.3,11
강북구,29,0.019,0.4,13
노원구,24,0.027,0.4,14
강서구,26,0.021,0.3,12
구로구,27,0.02,0.3,7
영등포구,23,0.015,0.5,11
동작구,30,0.016,0.4,14
관악구,22,0.016,0.5,10
금천구,30,0.017,0.5,15
양천구,28,0.017,0.4,13
강남구,22,0.019,0.4,13
서초구,25,0.018,0.3,10
송파구,24,0.019,0.5,12
강동구,28,0.021,0.4,15
중구,37,0.014,0.6,23
종로구,36,0.014,0.6,24
용산구,41,0.01,0.5,18
은평구,34,0.016,0.7,22
서대문구,28,0.014,0.5,23
마포구,28,0.011,0.6,22
광진구,31,0.011,0.6,24
성동구,30,0.015,0.5,22
중랑구,34,0.012,0.5,20
동대문구,30,0.014,0.6,25
성북구,34,0.013,0.6,19
도봉구,30,0.017,0.4,23
강북구,40,0.015,0.6,23
노원구,37,0.019,0.5,26
강서구,34,0.015,0.3,20
구로구,33,0.015,0.4,17
영등포구,30,0.011,0.6,21
동작구,34,0.013,0.5,24
관악구,27,0.013,0.6,18
금천구,34,0.013,0.6,24
양천구,34,0.012,0.6,22
강남구,31,0.012,0.6,24
서초구,34,0.014,0.4,20
송파구,30,0.012,0.6,22
강동구,39,0.013,0.5,28
중구,32,0.01,0.6,18
종로구,30,0.013,0.6,20
용산구,36,0.008,0.5,14
은평구,21,0.013,0.7,13
서대문구,20,0.01,0.7,17
마포구,24,0.008,0.6,17
광진구,28,0.007,0.7,18
성동구,25,0.01,0.6,16
중랑구,28,0.01,0.6,14
동대문구,27,0.009,0.6,19
성북구,28,0.009,0.7,16
도봉구,22,0.013,0.5,17
강북구,31,0.012,0.6,18
노원구,31,0.011,0.7,22
강서구,29,0.011,0.3,15
구로구,28,0.011,0.5,12
영등포구,24,0.009,0.6,15
동작구,29,0.01,0.5,18
관악구,22,0.009,0.6,13
금천구,32,0.01,0.7,17
양천구,31,0.009,0.6,18
강남구,26,0.011,0.6,18
